Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
ACORN,Greene King,0.39%,0.74%,0.493,1.028,0.917,3.394,0.024,0.070,01:52:12,02:30:50,00:38:38,53.46152537,-1.491909759,S35 1SL,4,AC,Pub,,,,,,,,,,,,,,,,,,
ALBION,Greene King,2.44%,2.89%,2.913,6.399,5.708,21.117,0.146,0.169,02:43:01,04:03:57,01:20:56,51.47642053,-2.767382029,BS20 6PZ,4,AC,Pub,,,,,,,,,,,,,,,,,,
ANCHOR,Greene King,1.62%,2.78%,1.974,4.231,3.774,13.963,0.097,0.179,02:28:18,03:42:42,01:14:24,52.14300271,-0.427322555,MK41 0DS,4,AC,Pub,,,,,,,,,,,,,,,,,,
ASHLEY HOTEL,Greene King,1.12%,1.69%,1.390,2.934,2.617,9.681,0.067,0.129,02:08:03,03:08:06,01:00:03,53.31675804,-1.121230795,S81 7JR,4,AC,Pub,,,,,,,,,,,,,,,,,,
ASPEN TREE,Greene King,0.77%,1.01%,0.633,1.910,1.704,6.302,0.044,0.104,01:53:41,02:10:47,00:17:06,51.60101084,0.175692962,RM5 3SP,4,AC,Pub,,,,,,,,,,,,,,,,,,
BADGER BOX,Greene King,1.55%,2.86%,1.912,4.058,3.620,13.392,0.093,0.239,01:56:16,02:50:57,00:54:42,53.079014,-1.243280612,NG17 9BX,6,AC,Pub,,,,,,,,,,,,,,,,,,
BALLOT BOX,Greene King,3.67%,6.56%,4.441,9.619,8.580,31.744,0.220,0.469,02:02:18,03:19:40,01:17:22,51.54898056,-0.330014454,UB6 7QL,6,AC,Pub,,,,,,,,,,,,,,,,,,
BARLEYCORN,Greene King,0.64%,0.98%,0.815,1.667,1.487,5.501,0.038,0.122,01:25:17,01:54:44,00:29:27,50.91360407,-1.302435941,SO30 4FQ,4,AC,Pub,,,,,,,,,,,,,,,,,,
BASSET HOUND,Greene King,4.18%,7.00%,5.027,10.948,9.766,36.129,0.250,0.320,03:21:16,05:11:52,01:50:36,53.35397858,-3.082883365,CH61 1AS,4,AC,Pub,,,,,,,,,,,,,,,,,,
BAY TREE,Greene King,2.75%,5.49%,3.429,7.201,6.423,23.763,0.165,0.390,02:29:14,03:21:18,00:52:04,51.61151154,-1.423478792,OX12 0AN,2,AC,Pub,,,,,,,,,,,,,,,,,,
BEECHDALE,Greene King,0.60%,0.81%,0.568,1.575,1.405,5.199,0.036,0.082,01:56:30,02:20:57,00:24:27,52.96156417,-1.201160365,NG8 3FE,4,AC,Pub,,,,,,,,,,,,,,,,,,
BEECHES,Greene King,1.13%,1.16%,1.380,2.960,2.640,9.766,0.068,0.161,01:29:51,01:42:44,00:12:53,52.53658858,-1.905201892,B42 2AE,4,AC,Pub,,,,,,,,,,,,,,,,,,
BENT BROOK,Greene King,0.57%,1.18%,0.707,1.482,1.322,4.891,0.034,0.089,02:09:36,03:09:55,01:00:19,53.458977,-2.372072233,M41 7NW,6,AC,Pub,,,,,,,,,,,,,,,,,,
BISCOT MILL,Greene King,2.47%,5.37%,2.985,6.474,5.775,21.365,0.148,0.288,02:37:56,04:26:39,01:48:43,51.89583745,-0.433174392,LU3 1AS,6,AC,Pub,,,,,,,,,,,,,,,,,,
BLACK BULL,Greene King,1.03%,1.95%,1.283,2.704,2.412,8.924,0.062,0.165,02:02:20,02:48:10,00:45:50,55.009998,-1.5755158,NE7 7XE,6,AC,Pub,,,,,,,,,,,,,,,,,,
BLACK HORSE,Greene King,2.91%,6.53%,3.639,7.613,6.791,25.122,0.174,0.420,02:46:31,03:41:55,00:55:24,51.82362478,-1.291009794,OX5 2BT,2,AC,Pub,,,,,,,,,,,,,,,,,,
BLUE ANCHOR,Greene King,1.24%,2.27%,1.540,3.255,2.903,10.741,0.074,0.178,02:04:18,03:02:27,00:58:09,53.47900195,-2.934297301,L10 8LH,4,AC,Pub,,,,,,,,,,,,,,,,,,
BOLD FORESTER,Greene King,0.54%,1.13%,0.673,1.426,1.272,4.706,0.033,0.112,01:37:56,02:25:15,00:47:19,53.1410118,-1.209693894,NG18 5NG,6,AC,Pub,,,,,,,,,,,,,,,,,,
BRADMORE ARMS,Greene King,1.90%,3.41%,2.334,4.977,4.439,16.424,0.114,0.234,02:03:54,03:28:04,01:24:10,52.57613034,-2.155919143,WV3 7HX,6,AC,Pub,,,,,,,,,,,,,,,,,,
BRIDGE INN,Greene King,1.11%,2.33%,1.385,2.912,2.598,9.611,0.067,0.143,02:12:51,03:52:01,01:39:10,51.39983087,-2.841309114,BS49 4AU,8,AC,Pub,,,,,,,,,,,,,,,,,,
CAERNARVON,Greene King,3.13%,4.36%,3.752,8.188,7.304,27.022,0.187,0.272,02:47:09,03:48:55,01:01:46,53.38286633,-3.052602367,CH43 2JZ,6,AC,Pub,,,,,,,,,,,,,,,,,,
CATH INN,Greene King,0.67%,0.97%,0.829,1.765,1.574,5.823,0.040,0.125,01:37:53,01:50:39,00:12:46,51.30851089,-2.958244451,BS24 0PZ,6,AC,Pub,,,,,,,,,,,,,,,,,,
CEDARS INN,Greene King,1.07%,2.39%,1.248,2.806,2.503,9.261,0.064,0.116,02:40:45,04:54:35,02:13:50,51.07319133,-4.084830208,EX31 2HE,6,AC,Pub,,,,,,,,,,,,,,,,,,
CHASE GATE,Greene King,0.24%,0.29%,0.312,0.629,0.561,2.076,0.014,0.057,01:10:08,01:12:29,00:02:21,52.67431771,-2.050129463,WS11 1SY,6,AC,Pub,,,,,,,,,,,,,,,,,,
CHATTERLY,Greene King,1.99%,3.00%,2.445,5.199,4.637,17.156,0.119,0.271,01:56:55,02:38:09,00:41:14,53.0694881,-2.205343016,ST6 5GA,6,AC,Pub,,,,,,,,,,,,,,,,,,
CHEQUERS,Greene King,0.27%,0.33%,0.320,0.697,0.621,2.299,0.016,0.035,02:05:25,02:15:19,00:09:54,51.90610734,-0.514371713,LU5 5LB,4,AC,Pub,,,,,,,,,,,,,,,,,,
CHERRY TREE,Greene King,0.56%,0.69%,0.641,1.461,1.304,4.823,0.033,0.114,01:20:47,01:27:01,00:06:14,53.00744073,-2.221882683,ST5 1NZ,6,AC,Pub,,,,,,,,,,,,,,,,,,
CHQD FLAG,Greene King,2.37%,3.49%,2.827,6.219,5.547,20.522,0.142,0.296,02:05:04,02:48:14,00:43:10,52.50725282,-0.704797705,NN17 4DU,4,AC,Pub,,,,,,,,,,,,,,,,,,
CHURCH INN,Greene King,0.26%,0.49%,0.346,0.688,0.614,2.272,0.016,0.069,01:21:18,01:39:54,00:18:36,53.44228517,-2.382709223,M41 9BU,4,AC,Pub,,,,,,,,,,,,,,,,,,
COOPERS BROOK,Greene King,1.96%,5.71%,2.378,5.139,4.584,16.959,0.118,0.254,02:10:04,05:20:46,03:10:42,53.00023066,-1.138326519,NG5 6BH,6,AC,Pub,,,,,,,,,,,,,,,,,,
COTTAGE LOAF,Greene King,1.36%,2.45%,1.699,3.568,3.182,11.774,0.082,0.179,02:07:32,03:15:17,01:07:45,53.35153639,-3.131158467,CH61 0HJ,6,AC,Pub,,,,,,,,,,,,,,,,,,
CRICKETERS,Greene King,0.20%,0.34%,0.209,0.522,0.465,1.722,0.012,0.032,01:31:48,02:29:51,00:58:03,51.33309437,-0.82325785,GU46 6BA,6,AC,Pub,,,,,,,,,,,,,,,,,,
CRICKETERS INN,Greene King,0.27%,0.36%,0.336,0.709,0.633,2.340,0.016,0.053,01:22:26,01:36:32,00:14:06,50.92761692,-1.233393413,SO32 2BH,6,AC,Pub,,,,,,,,,,,,,,,,,,
CUCKOO OAK,Greene King,0.30%,0.49%,0.387,0.780,0.696,2.574,0.018,0.076,01:22:39,01:31:17,00:08:38,52.64039627,-2.438982986,TF7 4JD,6,AC,Pub,,,,,,,,,,,,,,,,,,
CUMBERLAND,Greene King,1.51%,2.65%,1.780,3.950,3.523,13.033,0.090,0.252,01:38:03,02:29:56,00:51:53,53.5317489,-1.109518985,DN2 5AA,6,AC,Pub,,,,,,,,,,,,,,,,,,
DARLEYS,Greene King,3.59%,5.03%,4.431,9.403,8.387,31.028,0.215,0.486,01:50:13,02:27:51,00:37:39,53.73212113,-0.436754226,HU13 9AR,2,AC,Pub,,,,,,,,,,,,,,,,,,
DOG PHEASANT,Greene King,1.42%,1.89%,1.550,3.716,3.314,12.261,0.085,0.140,02:24:02,03:12:17,00:48:15,51.91307021,0.890796755,CO4 5EG,6,AC,Pub,,,,,,,,,,,,,,,,,,
DOG&PARTRIDGE,Greene King,3.84%,9.74%,4.557,10.045,8.960,33.149,0.230,0.348,02:54:12,06:40:08,03:45:56,54.07695019,-2.837938619,LA4 6DE,6,AC,Pub,,,,,,,,,,,,,,,,,,
DRAGON,Greene King,1.35%,2.26%,1.633,3.532,3.150,11.655,0.081,0.189,02:11:00,02:51:03,00:40:03,53.783415,-1.5822295,LS12 4TJ,4,AC,Pub,,,,,,,,,,,,,,,,,,
